ZONA PORTUARIA               ,Tipo de carga,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,VIGENCIA
BARRANQUILLA,CARBON AL GRANEL,2124717,0,0,0,2.018
BARRANQUILLA,CONTENEDORES,506558,843375,0,1201,2.018
BARRANQUILLA,GENERAL,102618,1709636,0,6070,2.018
BARRANQUILLA,GRANEL LIQUIDO,335747,767857,0,0,2.018
BARRANQUILLA,GRANEL SOLIDO DIFER. DE CARBON,55315,4253931,0,0,2.018
BUENAVENTURA,CARBON AL GRANEL,901288,232029,0,0,2.018
BUENAVENTURA,CONTENEDORES,2984267,5668090,7327137,0,2.018
BUENAVENTURA,GENERAL,167916,1703095,163,0,2.018
BUENAVENTURA,GRANEL LIQUIDO,0,583790,0,0,2.018
BUENAVENTURA,GRANEL SOLIDO DIFER. DE CARBON,34464,6266959,0,0,2.018
CARTAGENA,CARBON AL GRANEL,1510477,0,0,0,2.018
CARTAGENA,CONTENEDORES,2453524,3475738,17023870,288939,2.018
CARTAGENA,GENERAL,119671,371014,19152,4163,2.018
CARTAGENA,GRANEL LIQUIDO,6055283,3886943,0,0,2.018
CARTAGENA,GRANEL SOLIDO DIFER. DE CARBON,733839,1491153,0,0,2.018
CIENAGA,CARBON AL GRANEL,46006833,0,0,0,2.018
GOLFO MORROSQUILLO,CARBON AL GRANEL,357548,0,0,0,2.018
GOLFO MORROSQUILLO,GENERAL,0,814,0,0,2.018
GOLFO MORROSQUILLO,GRANEL LIQUIDO,29770380,67264,0,0,2.018
GOLFO MORROSQUILLO,GRANEL SOLIDO DIFER. DE CARBON,0,495203,0,0,2.018
GUAJIRA,CARBON AL GRANEL,31428433,0,0,0,2.018
GUAJIRA,CONTENEDORES,0,8846,0,0,2.018
GUAJIRA,GENERAL,0,43642,0,0,2.018
GUAJIRA,GRANEL LIQUIDO,0,288162,0,0,2.018
GUAJIRA,GRANEL SOLIDO DIFER. DE CARBON,0,93002,0,0,2.018
SAN ANDRES,CONTENEDORES,4359,36001,0,247,2.018
SAN ANDRES,GENERAL,11,1638,0,45,2.018
SAN ANDRES,GRANEL SOLIDO DIFER. DE CARBON,0,71667,0,0,2.018
SANTA MARTA,CARBON AL GRANEL,3008283,0,0,0,2.018
SANTA MARTA,CONTENEDORES,488615,291195,14717,0,2.018
SANTA MARTA,GENERAL,17380,213694,1230,0,2.018
SANTA MARTA,GRANEL LIQUIDO,379774,3761402,0,0,2.018
SANTA MARTA,GRANEL SOLIDO DIFER. DE CARBON,0,2152445,0,0,2.018
TUMACO,GRANEL LIQUIDO,585331,0,0,0,2.018
TURBO,CONTENEDORES,627978,137451,0,0,2.018
TURBO,GENERAL,149831,168,0,0,2.018
Z.P. RIO MAGDALENA,GRANEL SOLIDO DIFER. DE CARBON,13704,24277,0,0,2.018
BARRANCABERMEJA,GRANEL LIQUIDO,73567,145708,0,0,2.019
BARRANQUILLA,CARBON AL GRANEL,1793843,92034,0,0,2.019
BARRANQUILLA,CONTENEDORES,538982,783183,533,2531,2.019
BARRANQUILLA,GENERAL,55389,1526547,0,0,2.019
BARRANQUILLA,GRANEL LIQUIDO,358775,965453,0,0,2.019
BARRANQUILLA,GRANEL SOLIDO DIFER. DE CARBON,32865,4098789,0,7020,2.019
BUENAVENTURA,CARBON AL GRANEL,509783,315959,0,,2.019
BUENAVENTURA,CONTENEDORES,2672450,6755471,3362458,1707,2.019
BUENAVENTURA,GENERAL,750213,797257,603,0,2.019
BUENAVENTURA,GRANEL LIQUIDO,0,570691,0,0,2.019
BUENAVENTURA,GRANEL SOLIDO DIFER. DE CARBON,16680,5661491,0,0,2.019
CARTAGENA,CARBON AL GRANEL,1508170,0,0,0,2.019
CARTAGENA,CONTENEDORES,2437092,3755782,19237531,252638,2.019
